Date,Browser Type,Visits
16-Apr-16,UC Web,375
16-Apr-16,Yandex,168
16-Apr-16,BlackBerry,41
16-Apr-16,Amazon,37
17-Apr-16,Google,52693
17-Apr-16,Mozilla,24151
17-Apr-16,Apple,8428
17-Apr-16,Microsoft,6945
17-Apr-16,Other,950
17-Apr-16,Opera,483
17-Apr-16,UC Web,333
17-Apr-16,Yandex,208
17-Apr-16,BlackBerry,45
17-Apr-16,Amazon,34
18-Apr-16,Google,134080
18-Apr-16,Mozilla,73858
18-Apr-16,Microsoft,24450
18-Apr-16,Apple,13525
18-Apr-16,Other,1266
18-Apr-16,Opera,611
18-Apr-16,UC Web,358
18-Apr-16,Yandex,238
18-Apr-16,BlackBerry,48
18-Apr-16,Amazon,34
19-Apr-16,Google,143242
19-Apr-16,Mozilla,77060
19-Apr-16,Microsoft,26382
19-Apr-16,Apple,16196
19-Apr-16,Other,1335
19-Apr-16,Opera,768
19-Apr-16,UC Web,399
19-Apr-16,Yandex,213
19-Apr-16,BlackBerry,60
19-Apr-16,Amazon,53
20-Apr-16,Google,138947
20-Apr-16,Mozilla,73961
20-Apr-16,Microsoft,25098
20-Apr-16,Apple,15488
20-Apr-16,Other,1326
20-Apr-16,Opera,581
20-Apr-16,UC Web,357
20-Apr-16,Yandex,250
20-Apr-16,BlackBerry,60
20-Apr-16,Amazon,44
21-Apr-16,Google,133156
21-Apr-16,Mozilla,71469
21-Apr-16,Microsoft,24883
21-Apr-16,Apple,13692
21-Apr-16,Other,1276
21-Apr-16,Opera,552
21-Apr-16,UC Web,346
21-Apr-16,Yandex,263
21-Apr-16,BlackBerry,58
21-Apr-16,Amazon,38
22-Apr-16,Google,113647
22-Apr-16,Mozilla,60878
22-Apr-16,Microsoft,19383
22-Apr-16,Apple,11909
22-Apr-16,Other,1095
22-Apr-16,Opera,486
22-Apr-16,UC Web,316
22-Apr-16,Yandex,273
22-Apr-16,BlackBerry,55
22-Apr-16,Amazon,43
23-Apr-16,Google,52614
23-Apr-16,Mozilla,22882
23-Apr-16,Apple,9694
23-Apr-16,Microsoft,4687
23-Apr-16,Other,901
23-Apr-16,Opera,502
23-Apr-16,UC Web,307
23-Apr-16,Yandex,242
23-Apr-16,BlackBerry,57
23-Apr-16,Amazon,50
24-Apr-16,Google,55551
24-Apr-16,Mozilla,24385
24-Apr-16,Apple,8805
24-Apr-16,Microsoft,6783
24-Apr-16,Other,949
24-Apr-16,Opera,533
24-Apr-16,UC Web,328
24-Apr-16,Yandex,236
24-Apr-16,BlackBerry,53
24-Apr-16,Amazon,42
25-Apr-16,Google,135784
25-Apr-16,Mozilla,71674
25-Apr-16,Microsoft,23997
25-Apr-16,Apple,13587
25-Apr-16,Other,1262
25-Apr-16,Opera,622
25-Apr-16,UC Web,316
25-Apr-16,Yandex,293
25-Apr-16,BlackBerry,61
25-Apr-16,Amazon,30
26-Apr-16,Google,142655
26-Apr-16,Mozilla,75600
26-Apr-16,Microsoft,25593
26-Apr-16,Apple,14089
26-Apr-16,Other,1355
26-Apr-16,Opera,631
26-Apr-16,UC Web,414
26-Apr-16,Yandex,295
26-Apr-16,BlackBerry,71
26-Apr-16,Amazon,35
27-Apr-16,Google,139341
27-Apr-16,Mozilla,74238
27-Apr-16,Microsoft,24718
27-Apr-16,Apple,14760
27-Apr-16,Other,1341
27-Apr-16,Opera,585
27-Apr-16,UC Web,429
27-Apr-16,Yandex,291
27-Apr-16,BlackBerry,68
27-Apr-16,Amazon,49
28-Apr-16,Google,137910
28-Apr-16,Mozilla,71963
28-Apr-16,Microsoft,23116
28-Apr-16,Apple,14576
28-Apr-16,Other,1374
28-Apr-16,Opera,778
28-Apr-16,UC Web,556
28-Apr-16,Yandex,283
28-Apr-16,BlackBerry,79
28-Apr-16,Amazon,46
29-Apr-16,Google,115708
29-Apr-16,Mozilla,64585
29-Apr-16,Microsoft,15950
29-Apr-16,Apple,12228
29-Apr-16,Other,1282
29-Apr-16,Opera,541
29-Apr-16,UC Web,360
29-Apr-16,Yandex,305
29-Apr-16,BlackBerry,49
29-Apr-16,Amazon,36
30-Apr-16,Google,49680
30-Apr-16,Mozilla,20559
30-Apr-16,Apple,8669
30-Apr-16,Microsoft,4296
30-Apr-16,Other,1082
30-Apr-16,Opera,480
30-Apr-16,UC Web,324
30-Apr-16,Yandex,220
30-Apr-16,BlackBerry,51
30-Apr-16,Amazon,39
1-May-16,Google,53075
1-May-16,Mozilla,21048
1-May-16,Apple,8528
1-May-16,Microsoft,5888
1-May-16,Other,1110
1-May-16,Opera,459
1-May-16,UC Web,303
1-May-16,Yandex,178
1-May-16,Amazon,48
1-May-16,BlackBerry,45
2-May-16,Google,120927
2-May-16,Mozilla,61393
2-May-16,Microsoft,18992
2-May-16,Apple,13562
2-May-16,Other,1408
2-May-16,Opera,574
2-May-16,UC Web,340
2-May-16,Yandex,198
2-May-16,BlackBerry,60
2-May-16,Amazon,41
3-May-16,Google,135001
3-May-16,Mozilla,67459
3-May-16,Microsoft,20591
3-May-16,Apple,13949
3-May-16,Other,1537
3-May-16,Opera,556
3-May-16,UC Web,303
3-May-16,Yandex,231
3-May-16,BlackBerry,66
3-May-16,Amazon,38
4-May-16,Google,137403
4-May-16,Mozilla,68453
4-May-16,Microsoft,20782
4-May-16,Apple,13749
4-May-16,Other,1687
4-May-16,Opera,607
4-May-16,UC Web,328
4-May-16,Yandex,289
4-May-16,BlackBerry,74
4-May-16,Amazon,41
5-May-16,Google,124245
5-May-16,Mozilla,57669
5-May-16,Microsoft,18984
5-May-16,Apple,12229
5-May-16,Other,1635
5-May-16,Opera,550
5-May-16,UC Web,341
5-May-16,Yandex,240
5-May-16,BlackBerry,56
5-May-16,Amazon,29
6-May-16,Google,112682
6-May-16,Mozilla,54620
6-May-16,Microsoft,17077
6-May-16,Apple,11770
6-May-16,Other,1529
6-May-16,Opera,544
6-May-16,UC Web,256
6-May-16,Yandex,233
6-May-16,BlackBerry,58
6-May-16,Amazon,30
7-May-16,Google,51149
7-May-16,Mozilla,19827
7-May-16,Apple,8422
7-May-16,Microsoft,4562
7-May-16,Other,1303
7-May-16,Opera,474
7-May-16,UC Web,299
7-May-16,Yandex,197
7-May-16,BlackBerry,53
7-May-16,Amazon,47
8-May-16,Google,56911
8-May-16,Mozilla,22341
8-May-16,Apple,7736
8-May-16,Microsoft,7583
8-May-16,Other,1371
8-May-16,Opera,557
8-May-16,UC Web,300
8-May-16,Yandex,216
8-May-16,Amazon,45
8-May-16,BlackBerry,37
9-May-16,Google,140129
9-May-16,Mozilla,71815
9-May-16,Microsoft,26547
9-May-16,Apple,13353
9-May-16,Other,1969
9-May-16,Opera,659
9-May-16,UC Web,335
9-May-16,Yandex,230
9-May-16,BlackBerry,64
9-May-16,Amazon,38
10-May-16,Google,147276
10-May-16,Mozilla,76041
10-May-16,Microsoft,28059
10-May-16,Apple,14604
10-May-16,Other,1983
10-May-16,Opera,603
10-May-16,UC Web,354
10-May-16,Yandex,268
10-May-16,BlackBerry,75
10-May-16,Amazon,51
11-May-16,Google,144704
11-May-16,Mozilla,75352
11-May-16,Microsoft,27025
11-May-16,Apple,17322
11-May-16,Other,1677
11-May-16,Opera,635
11-May-16,UC Web,389
11-May-16,Yandex,310
11-May-16,BlackBerry,80
11-May-16,Amazon,37
12-May-16,Google,141694
12-May-16,Mozilla,72953
12-May-16,Microsoft,26153
12-May-16,Apple,16205
12-May-16,Other,1980
12-May-16,Opera,677
12-May-16,UC Web,354
12-May-16,Yandex,252
12-May-16,BlackBerry,81
12-May-16,Amazon,48
13-May-16,Google,116572
13-May-16,Mozilla,60653
13-May-16,Microsoft,20164
13-May-16,Apple,12714
13-May-16,Other,1622
13-May-16,Opera,514
13-May-16,UC Web,385
13-May-16,Yandex,275
13-May-16,BlackBerry,51
13-May-16,Amazon,47
14-May-16,Google,48054
14-May-16,Mozilla,20872
14-May-16,Apple,8489
14-May-16,Microsoft,5248
14-May-16,Other,1103
14-May-16,Opera,497
14-May-16,UC Web,340
14-May-16,Yandex,176
14-May-16,Amazon,47
14-May-16,BlackBerry,44
15-May-16,Google,55556
15-May-16,Mozilla,23464
15-May-16,Apple,8628
15-May-16,Microsoft,7962
15-May-16,Other,1107
15-May-16,Opera,439
15-May-16,UC Web,327
15-May-16,Yandex,229
15-May-16,Amazon,58
15-May-16,BlackBerry,47
16-May-16,Google,125881
16-May-16,Mozilla,60363
16-May-16,Microsoft,22026
16-May-16,Apple,12865
16-May-16,Other,1370
16-May-16,Opera,553
16-May-16,UC Web,350
16-May-16,Yandex,274
16-May-16,BlackBerry,68
16-May-16,Amazon,37
17-May-16,Google,138637
17-May-16,Mozilla,71917
17-May-16,Microsoft,25411
17-May-16,Apple,14213
17-May-16,Other,1417
17-May-16,Opera,500
17-May-16,UC Web,312
17-May-16,Yandex,294
17-May-16,BlackBerry,65
17-May-16,Amazon,33
18-May-16,Google,137843
18-May-16,Mozilla,71125
18-May-16,Microsoft,25233
18-May-16,Apple,14072
18-May-16,Other,1525
18-May-16,Opera,484
18-May-16,UC Web,306
18-May-16,Yandex,281
18-May-16,BlackBerry,70
18-May-16,Amazon,54
