Date,OS,Visits
25-Apr-16,Apple Macintosh,27084
25-Apr-16,Google Android,9851
25-Apr-16,Apple iOS,6966
25-Apr-16,Other,2975
25-Apr-16,Microsoft Windows Phone/Mobile,242
25-Apr-16,Chrome OS,236
25-Apr-16,UNIX,84
25-Apr-16,Nokia,83
26-Apr-16,Microsoft Windows,167951
26-Apr-16,GNU/Linux,42365
26-Apr-16,Apple Macintosh,27513
26-Apr-16,Google Android,10717
26-Apr-16,Apple iOS,7477
26-Apr-16,Other,4019
26-Apr-16,Chrome OS,282
26-Apr-16,Microsoft Windows Phone/Mobile,201
26-Apr-16,UNIX,106
26-Apr-16,Nokia,93
27-Apr-16,Microsoft Windows,161184
27-Apr-16,GNU/Linux,42749
27-Apr-16,Apple Macintosh,27477
27-Apr-16,Google Android,10760
27-Apr-16,Apple iOS,7818
27-Apr-16,Other,5143
27-Apr-16,Chrome OS,243
27-Apr-16,Microsoft Windows Phone/Mobile,234
27-Apr-16,UNIX,101
27-Apr-16,Nokia,91
28-Apr-16,Microsoft Windows,156309
28-Apr-16,GNU/Linux,41766
28-Apr-16,Apple Macintosh,27450
28-Apr-16,Google Android,11463
28-Apr-16,Apple iOS,7826
28-Apr-16,Other,5152
28-Apr-16,Microsoft Windows Phone/Mobile,256
28-Apr-16,Chrome OS,237
28-Apr-16,Nokia,93
28-Apr-16,UNIX,91
29-Apr-16,Microsoft Windows,120161
29-Apr-16,GNU/Linux,46049
29-Apr-16,Apple Macintosh,21599
29-Apr-16,Google Android,10566
29-Apr-16,Apple iOS,6994
29-Apr-16,Other,5137
29-Apr-16,Microsoft Windows Phone/Mobile,197
29-Apr-16,Chrome OS,173
29-Apr-16,UNIX,85
29-Apr-16,Nokia,75
30-Apr-16,Microsoft Windows,40340
30-Apr-16,GNU/Linux,14734
30-Apr-16,Google Android,9603
30-Apr-16,Apple Macintosh,9262
30-Apr-16,Apple iOS,5925
30-Apr-16,Other,5274
30-Apr-16,Microsoft Windows Phone/Mobile,161
30-Apr-16,Chrome OS,136
30-Apr-16,Nokia,83
30-Apr-16,Blackberry,58
1-May-16,Microsoft Windows,44536
1-May-16,GNU/Linux,14743
1-May-16,Google Android,10207
1-May-16,Apple Macintosh,10109
1-May-16,Apple iOS,5542
1-May-16,Other,5277
1-May-16,Chrome OS,147
1-May-16,Microsoft Windows Phone/Mobile,146
1-May-16,Nokia,90
1-May-16,Blackberry,51
2-May-16,Microsoft Windows,131082
2-May-16,GNU/Linux,37250
2-May-16,Apple Macintosh,24569
2-May-16,Google Android,11662
2-May-16,Apple iOS,7238
2-May-16,Other,5150
2-May-16,Microsoft Windows Phone/Mobile,198
2-May-16,Chrome OS,185
2-May-16,Nokia,91
2-May-16,Blackberry,71
3-May-16,Microsoft Windows,147460
3-May-16,GNU/Linux,40011
3-May-16,Apple Macintosh,27103
3-May-16,Google Android,12028
3-May-16,Apple iOS,7397
3-May-16,Other,5672
3-May-16,Microsoft Windows Phone/Mobile,213
3-May-16,Chrome OS,180
3-May-16,UNIX,90
3-May-16,Nokia,86
4-May-16,Microsoft Windows,149846
4-May-16,GNU/Linux,40609
4-May-16,Apple Macintosh,27442
4-May-16,Google Android,12586
4-May-16,Apple iOS,7134
4-May-16,Other,5424
4-May-16,Chrome OS,226
4-May-16,Microsoft Windows Phone/Mobile,212
4-May-16,UNIX,100
4-May-16,Nokia,93
5-May-16,Microsoft Windows,133008
5-May-16,GNU/Linux,35066
5-May-16,Apple Macintosh,24453
5-May-16,Google Android,11419
5-May-16,Apple iOS,6313
5-May-16,Other,5136
5-May-16,Chrome OS,211
5-May-16,Microsoft Windows Phone/Mobile,197
5-May-16,Nokia,95
5-May-16,Blackberry,66
