Date,Browser Type,Visits
8-May-16,Apple,1982
8-May-16,Other,214
8-May-16,Opera,138
8-May-16,UC Web,61
8-May-16,Yandex,22
8-May-16,Amazon,12
8-May-16,BlackBerry,8
9-May-16,Google,72135
9-May-16,Mozilla,45901
9-May-16,Microsoft,15830
9-May-16,Apple,4660
9-May-16,Other,364
9-May-16,Opera,201
9-May-16,UC Web,68
9-May-16,Yandex,30
9-May-16,BlackBerry,23
9-May-16,Amazon,12
10-May-16,Google,74981
10-May-16,Mozilla,48917
10-May-16,Microsoft,16753
10-May-16,Apple,5133
10-May-16,Other,376
10-May-16,Opera,186
10-May-16,UC Web,82
10-May-16,Yandex,64
10-May-16,BlackBerry,15
10-May-16,Amazon,14
11-May-16,Google,72863
11-May-16,Mozilla,46608
11-May-16,Microsoft,16044
11-May-16,Apple,5307
11-May-16,Other,447
11-May-16,Opera,214
11-May-16,UC Web,85
11-May-16,Yandex,71
11-May-16,BlackBerry,15
11-May-16,Amazon,11
12-May-16,Google,70539
12-May-16,Mozilla,41933
12-May-16,Microsoft,15809
12-May-16,Apple,5312
12-May-16,Other,389
12-May-16,Opera,253
12-May-16,Yandex,66
12-May-16,UC Web,65
12-May-16,BlackBerry,25
12-May-16,Amazon,11
13-May-16,Google,57026
13-May-16,Mozilla,33944
13-May-16,Microsoft,11517
13-May-16,Apple,4261
13-May-16,Other,316
13-May-16,Opera,184
13-May-16,Yandex,73
13-May-16,UC Web,62
13-May-16,BlackBerry,19
13-May-16,Amazon,7
14-May-16,Google,18185
14-May-16,Mozilla,9426
14-May-16,Microsoft,2085
14-May-16,Apple,1953
14-May-16,Other,169
14-May-16,Opera,131
14-May-16,UC Web,54
14-May-16,Yandex,32
14-May-16,BlackBerry,12
14-May-16,Amazon,5
15-May-16,Google,22597
15-May-16,Mozilla,11100
15-May-16,Microsoft,3893
15-May-16,Apple,2052
15-May-16,Other,225
15-May-16,Opera,111
15-May-16,UC Web,69
15-May-16,Yandex,38
15-May-16,BlackBerry,10
15-May-16,Amazon,9
16-May-16,Google,62373
16-May-16,Mozilla,33326
16-May-16,Microsoft,13156
16-May-16,Apple,4315
16-May-16,Other,365
16-May-16,Opera,171
16-May-16,UC Web,64
16-May-16,Yandex,63
16-May-16,BlackBerry,16
16-May-16,Amazon,6
17-May-16,Google,68890
17-May-16,Mozilla,39939
17-May-16,Microsoft,14749
17-May-16,Apple,4758
17-May-16,Other,378
17-May-16,Opera,166
17-May-16,Yandex,67
17-May-16,UC Web,56
17-May-16,BlackBerry,17
17-May-16,Amazon,7
18-May-16,Google,68922
18-May-16,Mozilla,39858
18-May-16,Microsoft,14553
18-May-16,Apple,4767
18-May-16,Other,437
18-May-16,Opera,158
18-May-16,UC Web,71
18-May-16,Yandex,58
18-May-16,BlackBerry,22
18-May-16,Amazon,8
