Date,Operating System Types,Visits
25-Mar-16,Other,42
25-Mar-16,Nokia,30
25-Mar-16,Blackberry,27
26-Mar-16,Microsoft Windows,6112
26-Mar-16,GNU/Linux,2416
26-Mar-16,Google Android,2323
26-Mar-16,Apple Macintosh,1846
26-Mar-16,Apple iOS,1722
26-Mar-16,Microsoft Windows Phone/Mobile,47
26-Mar-16,Chrome OS,44
26-Mar-16,Nokia,33
26-Mar-16,Other,33
26-Mar-16,Blackberry,20
27-Mar-16,Microsoft Windows,6085
27-Mar-16,GNU/Linux,2357
27-Mar-16,Google Android,2013
27-Mar-16,Apple Macintosh,1734
27-Mar-16,Apple iOS,1310
27-Mar-16,Chrome OS,53
27-Mar-16,Microsoft Windows Phone/Mobile,42
27-Mar-16,Nokia,40
27-Mar-16,Blackberry,25
27-Mar-16,Other,25
28-Mar-16,Microsoft Windows,11316
28-Mar-16,Google Android,4161
28-Mar-16,Apple iOS,3605
28-Mar-16,GNU/Linux,3346
28-Mar-16,Apple Macintosh,3118
28-Mar-16,Microsoft Windows Phone/Mobile,89
28-Mar-16,Chrome OS,80
28-Mar-16,Nokia,53
28-Mar-16,Other,42
28-Mar-16,Blackberry,27
29-Mar-16,Microsoft Windows,16044
29-Mar-16,Google Android,5542
29-Mar-16,GNU/Linux,4768
29-Mar-16,Apple Macintosh,4112
29-Mar-16,Apple iOS,4031
29-Mar-16,Microsoft Windows Phone/Mobile,107
29-Mar-16,Chrome OS,79
29-Mar-16,Other,57
29-Mar-16,Blackberry,41
29-Mar-16,Nokia,37
30-Mar-16,Microsoft Windows,14019
30-Mar-16,GNU/Linux,4361
30-Mar-16,Google Android,4173
30-Mar-16,Apple Macintosh,3275
30-Mar-16,Apple iOS,2289
30-Mar-16,Chrome OS,100
30-Mar-16,Microsoft Windows Phone/Mobile,83
30-Mar-16,Nokia,51
30-Mar-16,Other,43
30-Mar-16,Blackberry,33
31-Mar-16,Microsoft Windows,12156
31-Mar-16,GNU/Linux,4042
31-Mar-16,Apple Macintosh,2976
31-Mar-16,Google Android,2961
31-Mar-16,Apple iOS,1702
31-Mar-16,Chrome OS,76
31-Mar-16,Microsoft Windows Phone/Mobile,57
31-Mar-16,Other,38
31-Mar-16,Nokia,37
31-Mar-16,Blackberry,23
1-Apr-16,Microsoft Windows,10366
1-Apr-16,GNU/Linux,3577
1-Apr-16,Google Android,2832
1-Apr-16,Apple Macintosh,2578
1-Apr-16,Apple iOS,1871
1-Apr-16,Chrome OS,66
1-Apr-16,Microsoft Windows Phone/Mobile,64
1-Apr-16,Other,41
1-Apr-16,Nokia,35
1-Apr-16,Blackberry,18
2-Apr-16,Microsoft Windows,6450
2-Apr-16,GNU/Linux,2750
2-Apr-16,Google Android,2694
2-Apr-16,Apple iOS,1687
2-Apr-16,Apple Macintosh,1670
2-Apr-16,Chrome OS,58
2-Apr-16,Microsoft Windows Phone/Mobile,53
2-Apr-16,Nokia,42
2-Apr-16,Other,40
2-Apr-16,Blackberry,23
3-Apr-16,Microsoft Windows,6669
3-Apr-16,GNU/Linux,2655
3-Apr-16,Google Android,2050
3-Apr-16,Apple Macintosh,1736
3-Apr-16,Apple iOS,1328
3-Apr-16,Chrome OS,43
3-Apr-16,Microsoft Windows Phone/Mobile,40
3-Apr-16,Nokia,33
3-Apr-16,Other,26
3-Apr-16,Blackberry,16
4-Apr-16,Microsoft Windows,12362
4-Apr-16,GNU/Linux,4204
4-Apr-16,Apple Macintosh,3047
4-Apr-16,Google Android,2242
4-Apr-16,Apple iOS,1506
4-Apr-16,Chrome OS,84
4-Apr-16,Microsoft Windows Phone/Mobile,61
4-Apr-16,Nokia,39
4-Apr-16,Other,34
4-Apr-16,Blackberry,22
5-Apr-16,Microsoft Windows,12434
5-Apr-16,GNU/Linux,3745
5-Apr-16,Apple Macintosh,3072
5-Apr-16,Google Android,2103
5-Apr-16,Apple iOS,1327
5-Apr-16,Chrome OS,82
5-Apr-16,Nokia,47
5-Apr-16,Other,47
5-Apr-16,Microsoft Windows Phone/Mobile,41
5-Apr-16,Blackberry,23
6-Apr-16,Microsoft Windows,13685
6-Apr-16,GNU/Linux,4377
6-Apr-16,Apple Macintosh,3493
6-Apr-16,Google Android,2768
6-Apr-16,Apple iOS,1868
6-Apr-16,Chrome OS,92
6-Apr-16,Microsoft Windows Phone/Mobile,58
6-Apr-16,Other,38
6-Apr-16,Nokia,32
6-Apr-16,Blackberry,22
7-Apr-16,Microsoft Windows,12360
7-Apr-16,GNU/Linux,4078
7-Apr-16,Apple Macintosh,3082
7-Apr-16,Google Android,2558
7-Apr-16,Apple iOS,1535
7-Apr-16,Chrome OS,79
7-Apr-16,Microsoft Windows Phone/Mobile,44
7-Apr-16,Nokia,41
7-Apr-16,Other,41
7-Apr-16,Blackberry,23
8-Apr-16,Microsoft Windows,10420
8-Apr-16,GNU/Linux,3755
8-Apr-16,Apple Macintosh,2614
8-Apr-16,Google Android,2236
8-Apr-16,Apple iOS,1360
8-Apr-16,Microsoft Windows Phone/Mobile,52
8-Apr-16,Chrome OS,49
8-Apr-16,Nokia,44
8-Apr-16,Other,37
8-Apr-16,Blackberry,23
9-Apr-16,Microsoft Windows,6305
9-Apr-16,GNU/Linux,3042
9-Apr-16,Google Android,2174
9-Apr-16,Apple Macintosh,1798
9-Apr-16,Apple iOS,1409
9-Apr-16,Microsoft Windows Phone/Mobile,52
9-Apr-16,Chrome OS,45
9-Apr-16,Other,33
9-Apr-16,Nokia,32
9-Apr-16,UNIX,12
10-Apr-16,Microsoft Windows,6716
10-Apr-16,GNU/Linux,2686
10-Apr-16,Apple Macintosh,1878
10-Apr-16,Google Android,1871
10-Apr-16,Apple iOS,1291
10-Apr-16,Chrome OS,57
10-Apr-16,Other,37
10-Apr-16,Microsoft Windows Phone/Mobile,36
10-Apr-16,Nokia,31
10-Apr-16,Blackberry,17
11-Apr-16,Microsoft Windows,12501
11-Apr-16,GNU/Linux,3845
11-Apr-16,Apple Macintosh,3135
11-Apr-16,Google Android,2020
11-Apr-16,Apple iOS,1305
11-Apr-16,Chrome OS,78
11-Apr-16,Microsoft Windows Phone/Mobile,47
11-Apr-16,Other,33
11-Apr-16,Nokia,25
11-Apr-16,Blackberry,19
12-Apr-16,Microsoft Windows,13634
12-Apr-16,GNU/Linux,4393
12-Apr-16,Apple Macintosh,3402
12-Apr-16,Google Android,2666
12-Apr-16,Apple iOS,1760
12-Apr-16,Chrome OS,83
12-Apr-16,Microsoft Windows Phone/Mobile,64
12-Apr-16,Nokia,48
12-Apr-16,Other,41
12-Apr-16,Blackberry,24
13-Apr-16,Microsoft Windows,12239
13-Apr-16,GNU/Linux,3962
13-Apr-16,Apple Macintosh,3021
13-Apr-16,Google Android,2278
13-Apr-16,Apple iOS,1457
13-Apr-16,Chrome OS,95
13-Apr-16,Microsoft Windows Phone/Mobile,40
13-Apr-16,Other,36
13-Apr-16,Nokia,33
13-Apr-16,Blackberry,22
14-Apr-16,Microsoft Windows,12312
14-Apr-16,GNU/Linux,3955
14-Apr-16,Apple Macintosh,2994
14-Apr-16,Google Android,2262
14-Apr-16,Apple iOS,1353
14-Apr-16,Chrome OS,73
14-Apr-16,Microsoft Windows Phone/Mobile,53
14-Apr-16,Other,39
14-Apr-16,Nokia,36
14-Apr-16,Blackberry,25
15-Apr-16,Microsoft Windows,10650
15-Apr-16,GNU/Linux,3577
15-Apr-16,Apple Macintosh,2474
15-Apr-16,Google Android,2133
15-Apr-16,Apple iOS,1348
15-Apr-16,Chrome OS,65
15-Apr-16,Microsoft Windows Phone/Mobile,47
15-Apr-16,Other,47
15-Apr-16,Nokia,41
15-Apr-16,Blackberry,24
16-Apr-16,Microsoft Windows,6289
16-Apr-16,GNU/Linux,2895
16-Apr-16,Google Android,2275
16-Apr-16,Apple Macintosh,1696
16-Apr-16,Apple iOS,1466
16-Apr-16,Chrome OS,59
16-Apr-16,Other,44
16-Apr-16,Microsoft Windows Phone/Mobile,40
16-Apr-16,Nokia,36
16-Apr-16,Blackberry,14
17-Apr-16,Microsoft Windows,6834
17-Apr-16,GNU/Linux,2906
17-Apr-16,Google Android,2357
17-Apr-16,Apple Macintosh,1925
17-Apr-16,Apple iOS,1445
17-Apr-16,Microsoft Windows Phone/Mobile,53
17-Apr-16,Chrome OS,52
17-Apr-16,Other,38
17-Apr-16,Nokia,28
17-Apr-16,Blackberry,15
18-Apr-16,Microsoft Windows,12996
18-Apr-16,GNU/Linux,3886
18-Apr-16,Apple Macintosh,3178
18-Apr-16,Google Android,2329
18-Apr-16,Apple iOS,1488
18-Apr-16,Chrome OS,85
18-Apr-16,Microsoft Windows Phone/Mobile,56
18-Apr-16,Other,43
18-Apr-16,Nokia,37
18-Apr-16,Blackberry,21
19-Apr-16,Microsoft Windows,14572
19-Apr-16,GNU/Linux,4458
19-Apr-16,Apple Macintosh,3500
19-Apr-16,Google Android,3091
19-Apr-16,Apple iOS,1963
19-Apr-16,Chrome OS,90
19-Apr-16,Microsoft Windows Phone/Mobile,62
19-Apr-16,Other,49
19-Apr-16,Nokia,38
19-Apr-16,Blackberry,19
20-Apr-16,Microsoft Windows,12863
20-Apr-16,GNU/Linux,3848
20-Apr-16,Apple Macintosh,3202
20-Apr-16,Google Android,2616
20-Apr-16,Apple iOS,1822
20-Apr-16,Chrome OS,103
20-Apr-16,Microsoft Windows Phone/Mobile,58
20-Apr-16,Other,49
20-Apr-16,Nokia,29
20-Apr-16,Blackberry,16
21-Apr-16,Microsoft Windows,12255
21-Apr-16,GNU/Linux,3635
21-Apr-16,Apple Macintosh,2817
21-Apr-16,Google Android,2155
21-Apr-16,Apple iOS,1378
21-Apr-16,Chrome OS,118
21-Apr-16,Microsoft Windows Phone/Mobile,58
21-Apr-16,Nokia,38
21-Apr-16,Other,34
21-Apr-16,Blackberry,19
22-Apr-16,Microsoft Windows,10522
22-Apr-16,GNU/Linux,3404
22-Apr-16,Apple Macintosh,2511
22-Apr-16,Google Android,2079
22-Apr-16,Apple iOS,1332
22-Apr-16,Chrome OS,74
22-Apr-16,Other,45
22-Apr-16,Microsoft Windows Phone/Mobile,40
22-Apr-16,Nokia,26
22-Apr-16,Blackberry,17
23-Apr-16,Microsoft Windows,6382
23-Apr-16,GNU/Linux,3002
23-Apr-16,Google Android,2530
23-Apr-16,Apple Macintosh,1743
23-Apr-16,Apple iOS,1555
23-Apr-16,Chrome OS,57
23-Apr-16,Microsoft Windows Phone/Mobile,53
23-Apr-16,Other,44
23-Apr-16,Nokia,35
23-Apr-16,Blackberry,25
24-Apr-16,Microsoft Windows,6887
24-Apr-16,GNU/Linux,3051
24-Apr-16,Google Android,2424
24-Apr-16,Apple Macintosh,1838
24-Apr-16,Apple iOS,1368
24-Apr-16,Chrome OS,65
24-Apr-16,Other,47
24-Apr-16,Microsoft Windows Phone/Mobile,46
24-Apr-16,Nokia,40
24-Apr-16,Blackberry,27
25-Apr-16,Microsoft Windows,12916
25-Apr-16,GNU/Linux,4102
25-Apr-16,Apple Macintosh,3030
25-Apr-16,Google Android,2322
25-Apr-16,Apple iOS,1388
25-Apr-16,Chrome OS,91
25-Apr-16,Microsoft Windows Phone/Mobile,60
25-Apr-16,Other,47
25-Apr-16,Nokia,28
25-Apr-16,Blackberry,27
26-Apr-16,Microsoft Windows,14636
26-Apr-16,GNU/Linux,4418
26-Apr-16,Apple Macintosh,3325
26-Apr-16,Google Android,2628
26-Apr-16,Apple iOS,1715
26-Apr-16,Chrome OS,119
26-Apr-16,Microsoft Windows Phone/Mobile,56
26-Apr-16,Other,46
26-Apr-16,Nokia,36
26-Apr-16,Blackberry,34
27-Apr-16,Microsoft Windows,12262
27-Apr-16,GNU/Linux,3546
27-Apr-16,Apple Macintosh,2802
27-Apr-16,Google Android,1979
27-Apr-16,Apple iOS,1412
27-Apr-16,Chrome OS,90
27-Apr-16,Microsoft Windows Phone/Mobile,55
27-Apr-16,Other,45
27-Apr-16,Nokia,36
